match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,Kolkata Knight Riders,Delhi Capitals,1,1,Umran Kumar,Mohammed Sharma,Shreyas Shami,0,0,0,0,0,0,2,0,2,,,
1,1,Kolkata Knight Riders,Delhi Capitals,1,2,Umran Kumar,Mohammed Sharma,Shreyas Shami,0,0,0,0,0,0,0,0,0,,,
1,1,Kolkata Knight Riders,Delhi Capitals,1,3,Umran Kumar,Mohammed Sharma,Shreyas Shami,0,0,0,0,0,0,1,0,1,,,
1,1,Kolkata Knight Riders,Delhi Capitals,1,4,Mohammed Sharma,Umran Kumar,Shreyas Shami,0,0,0,0,0,0,0,0,0,Mohammed Sharma,caught and bowled,Shardul Reddy
1,1,Kolkata Knight Riders,Delhi Capitals,1,5,Yashasvi Thakur,Umran Kumar,Shreyas Shami,0,0,0,0,0,0,0,0,0,,,
1,1,Kolkata Knight Riders,Delhi Capitals,1,6,Yashasvi Thakur,Umran Kumar,Shreyas Shami,0,0,0,0,0,0,1,0,1,,,
1,1,Kolkata Knight Riders,Delhi Capitals,2,1,Umran Kumar,Yashasvi Thakur,Suryakumar Singh,0,0,0,0,0,0,1,0,1,,,
1,1,Kolkata Knight Riders,Delhi Capitals,2,2,Yashasvi Thakur,Umran Kumar,Suryakumar Singh,0,0,0,0,0,0,0,0,0,,,
1,1,Kolkata Knight Riders,Delhi Capitals,2,3,Yashasvi Thakur,Umran Kumar,Suryakumar Singh,0,0,0,0,0,0,0,0,0,,,
1,1,Kolkata Knight Riders,Delhi Capitals,2,4,Yashasvi Thakur,Umran Kumar,Suryakumar Singh,0,0,0,0,0,0,0,0,0,,,
1,1,Kolkata Knight Riders,Delhi Capitals,2,5,Yashasvi Thakur,Umran Kumar,Suryakumar Singh,0,0,0,0,0,0,0,0,0,,,
